id,nome,cpf,data_nascimento,data_cadastro,salario,cidade,estado,telefone,observacao
123,Gabriela,03370475400,1990-01-15,,"R$ 3.000,00",Canoas,SC,51999990000,
124,Gabriela,27423656463,1990-01-15,,"R$ 2.500,00",Canoas,SC,51999990000,Cliente antigo
125,Bruno,46060505005,,2021-05-01,"R$ 2.500,00",Porto Alegre,SC,,
126,Felipe,54051719649,,2021-05-01,"R$ 3.000,00",Canoas,SC,,
127,Felipe,015.663.534-91,,2023-11-20,3500.00,São Leopoldo,SC,(51)99999-0000,
128,Ana,84891677043,1990-01-15,2023-11-20,3500.00,,RS,(51)99999-0000,
129,Bruno,59898575698,1985-07-30,2023-11-20,"R$ 2.500,00",Porto Alegre,PR,,
130,Felipe,75090850685,1990-01-15,2021-05-01,,Canoas,RS,51999990000,
131,Eduarda,92886307119,1990-01-15,2022-07-15,3500.00,São Leopoldo,PR,,
132,Carlos,041.322.190-11,1985-07-30,2023-11-20,"R$ 2.500,00",,,(51)99999-0000,Cliente antigo
133,Felipe,52379143667,1985-07-30,,,Gravataí,PR,(51)99999-0000,
134,Bruno,39214031004,2000-12-05,2022-07-15,,Gravataí,,,Cliente antigo
135,Carlos,72654081929,2000-12-05,2023-11-20,,Porto Alegre,,51999990000,
136,Gabriela,668.549.518-77,1990-01-15,2023-11-20,,Canoas,,,
137,Gabriela,67538504537,1985-07-30,2023-11-20,,Canoas,PR,,Cliente antigo
138,Daniela,88689821724,1985-07-30,2021-05-01,"R$ 3.000,00",São Leopoldo,,51999990000,
139,Eduarda,23121109800,1990-01-15,2023-11-20,3500.00,Canoas,RS,51999990000,
140,Bruno,313.387.322-03,2000-12-05,2023-11-20,,São Leopoldo,,,
141,Carlos,56699309675,2000-12-05,,,Canoas,RS,,Cliente antigo
142,Ana,176.161.085-45,,,,Canoas,PR,51999990000,
143,Eduarda,962.106.575-45,2000-12-05,2023-11-20,"R$ 2.500,00",,PR,,Cliente antigo
144,Bruno,20943218867,1985-07-30,,"R$ 3.000,00",Porto Alegre,PR,,
145,Daniela,85576934433,2000-12-05,2022-07-15,,Canoas,SC,(51)99999-0000,
146,Ana,48037434752,,,,Canoas,PR,51999990000,
147,Daniela,17505376494,1990-01-15,,3500.00,São Leopoldo,RS,,
148,Eduarda,72996574031,2000-12-05,2023-11-20,,Canoas,PR,51999990000,Cliente antigo
149,Bruno,21825924516,,,"R$ 3.000,00",Gravataí,PR,51999990000,Cliente antigo
150,Carlos,264.285.107-86,2000-12-05,,,Gravataí,RS,,Cliente antigo
62,Bruno,35832161895,,,,Gravataí,,(51)99999-0000,
104,Ana,311.097.766-45,,2022-07-15,,Porto Alegre,PR,,
111,Bruno,67634645416,,,,São Leopoldo,,(51)99999-0000,
72,Gabriela,084.027.902-26,1990-01-15,2021-05-01,"R$ 3.000,00",Canoas,SC,,Cliente antigo
58,Bruno,95164076942,,,,São Leopoldo,SC,(51)99999-0000,
78,Bruno,25879032696,2000-12-05,2021-05-01,"R$ 2.500,00",Gravataí,PR,(51)99999-0000,
91,Carlos,73649440492,1990-01-15,2021-05-01,"R$ 3.000,00",São Leopoldo,,(51)99999-0000,
54,Eduarda,272.173.282-19,,,,Canoas,PR,51999990000,
18,Daniela,79282497279,,2022-07-15,3500.00,,,(51)99999-0000,
5,Eduarda,278.223.318-46,,,,São Leopoldo,,,
